gvkey,firm_name,year,form,accession_num,amount
2085,BAUSCH &amp; LOMB INC,2004,10-K,0000010427-05-000140,
5862,RAYONIER INC,2004,10-K,0001145443-05-000423,"136,000,000"
5862,RAYONIER INC,2005,10-K,0001193125-06-044102,"154,000,000"
9667,SHERWIN WILLIAMS CO,2004,10-K,0000950152-05-001943,
9667,SHERWIN WILLIAMS CO,2005,10-K,0000950152-06-001786,
11376,WEST PHARMACEUTICAL SERVICES INC,2004,10-K,0000105770-05-000135,"70,000,000"
11376,WEST PHARMACEUTICAL SERVICES INC,2005,10-K,0001104659-06-014167,"166,000,000"
13421,CADENCE DESIGN SYSTEMS INC,2005,10-K,0000950134-05-005251,RANGE
13421,CADENCE DESIGN SYSTEMS INC,2005,10-K,0000950134-06-004749,"500,000,000"
141469,HARVARD BIOSCIENCE INC,2005,10-K,0001104659-06-017303,"5,100,000"
141469,HARVARD BIOSCIENCE INC,2004,10-K/A,0001047469-05-012187,
141469,HARVARD BIOSCIENCE INC,2004,10-K,0001047469-05-006773,
3502,COOPER TIRE &amp; RUBBER CO,2005,10-K,0000950152-06-001586,"169,000,000"
3502,COOPER TIRE &amp; RUBBER CO,2004,10-K/A,0000950152-05-002885,
3502,COOPER TIRE &amp; RUBBER CO,2004,10-K,0000950152-05-002010,"142,000"
3502,COOPER TIRE &amp; RUBBER CO,2005,10-K/A,0000950152-06-001665,
142811,FMC TECHNOLOGIES INC,2004,10-K,0001193125-05-049566,
142811,FMC TECHNOLOGIES INC,2005,10-K,0001193125-06-038959,"473,000,000"
5606,HEWLETT PACKARD CO,2004,10-K,0001047469-05-000929,"14,500,000,000"
5606,HEWLETT PACKARD CO,2005,10-K,0001047469-05-028479,"14,500,000,000"
65430,CHILDRENS PLACE RETAIL STORES INC,2005,10-K/A,0001104659-05-028200,
65430,CHILDRENS PLACE RETAIL STORES INC,2006,10-K,0001104659-06-024467,"45,000,000"
65430,CHILDRENS PLACE RETAIL STORES INC,2005,10-K,0001104659-05-016518,
63501,E TRADE FINANCIAL CORP,2003,10-K/A,0001193125-05-009895,
63501,E TRADE FINANCIAL CORP,2005,10-K,0001193125-06-045154,"20,000,000"
63501,E TRADE FINANCIAL CORP,2004,10-K,0001193125-05-046680,"20,000,000"
63501,E TRADE FINANCIAL CORP,2005,10-K/A,0001193125-06-062978,"20,000,000"
7906,NIKE INC,2006,10-K,0001193125-06-156152,"500,000,000"
7906,NIKE INC,2005,10-K,0000950124-05-004551,"500,000,000"
13027,GUNDLE SLT ENVIRONMENTAL INC,2004,10-K,0001193125-05-033629,
13027,GUNDLE SLT ENVIRONMENTAL INC,2005,10-K,0001144204-06-009171,
10232,SYMBOL TECHNOLOGIES INC,2005,10-K/A,0000950123-06-002594,blank
10232,SYMBOL TECHNOLOGIES INC,2005,10-K,0000950123-06-002545,"40,000"
10232,SYMBOL TECHNOLOGIES INC,2004,10-K,0000950123-05-003013,"95,000"
10232,SYMBOL TECHNOLOGIES INC,2002,10-K/A,0000950123-05-007759,blank
10232,SYMBOL TECHNOLOGIES INC,2003,10-K/A,0000950123-05-007758,blank
22794,BJ SERVICES CO,2004,10-K,0001193125-05-012383,
22794,BJ SERVICES CO,2005,10-K,0001193125-05-242654,"20,000,000"
25783,"McAfee, Inc.",2005,10-K,0000950134-06-004019,"350,000,000"
25783,"McAfee, Inc.",2004,10-K,0000950134-05-006598,"500,000,000"
25783,"McAfee, Inc.",2004,10-K/A,0000950134-05-010735,"500,000,000"
14650,BMC SOFTWARE INC,2006,10-K,0000950129-06-006284,"708,800,000"
14650,BMC SOFTWARE INC,2005,10-K,0000950129-05-006679,"717,000,000"
4321,EMERSON ELECTRIC CO,2004,10-K,0000032604-04-000033,
4321,EMERSON ELECTRIC CO,2005,10-K,0001193125-05-230745,"1,400,000,000"
10499,TEXAS INSTRUMENTS INC,2004,10-K,0001193125-05-038623,"1,600,000,000"
10499,TEXAS INSTRUMENTS INC,2005,10-K,0001193125-06-041333,"1,290,000,000"
8543,ALTRIA GROUP INC,2004,10-K,0000950123-05-003146,"7,100,000,000"
24856,GILEAD SCIENCES INC,2005,10-K,0001193125-06-045128,"280,000,000"
24856,GILEAD SCIENCES INC,2004,10-K,0001104659-05-010858,"500,000,000"
25341,KRONOS INC,2004,10-K,0000886903-04-000205,blank
25341,KRONOS INC,2005,10-K,0000886903-05-000165,"17,800,000"
24409,SYBASE INC,2005,10-K,0000950134-06-005173,"96,000,000"
24409,SYBASE INC,2005,10-K,0000950134-06-005173,"96,000,000"
24409,SYBASE INC,2004,10-K,0000950134-05-005197,
4973,GALLAGHER ARTHUR J &amp; CO,2004,10-K,0001193125-05-013417,
4973,GALLAGHER ARTHUR J &amp; CO,2005,10-K,0001193125-06-023110,"29,500,000"
6078,INTERNATIONAL FLAVORS &amp; FRAGRANCES INC,2005,10-K,0000950136-06-001885,"242,000"
6078,INTERNATIONAL FLAVORS &amp; FRAGRANCES INC,2004,10-K,0000950136-05-001337,250 to 500 million 
3707,DST SYSTEMS INC,2005,10-K,0001104659-06-014683,"88,000,000"
3707,DST SYSTEMS INC,2004,10-K,0001104659-05-010668,
10407,TELEFLEX INC,2004,10-K,0000893220-05-000499,o to 400 million
10407,TELEFLEX INC,2005,10-K,0000893220-06-000621,"304,000,000"
7991,TEREX CORP,2004,10-K,0001125282-06-001131,101*
7991,TEREX CORP,2005,10-K,0001125282-06-002894,101*
30098,GARDNER DENVER INC,2004,10-K,0001068800-05-000175,"16,600,000"
30098,GARDNER DENVER INC,2005,10-K,0000950137-06-003038,"44,000,000"
12136,"SUN MICROSYSTEMS, INC.",2006,10-K,0001193125-06-187945,"2,000,000,000"
12136,"SUN MICROSYSTEMS, INC.",2005,10-K,0001193125-05-184847,
13646,TIFFANY &amp; CO,2005,10-K,0000950123-05-004501,"100,000,000"
13646,TIFFANY &amp; CO,2006,10-K,0000950123-06-003996,"178,245,000"
13646,TIFFANY &amp; CO,2005,10-K/A,0000098246-06-000089,blank
1209,AIR PRODUCTS &amp; CHEMICALS INC /DE/,2004,10-K,0000950123-04-014695,blank
1209,AIR PRODUCTS &amp; CHEMICALS INC /DE/,2005,10-K,0000950123-05-013994,
12756,COCA COLA ENTERPRISES INC,2004,10-K,0001193125-05-044461,up to 500 million
12756,COCA COLA ENTERPRISES INC,2005,10-K,0001193125-06-036747,"1,600,000,000"
1690,APPLE COMPUTER INC,2004,10-K,0001047469-04-035975,
1690,APPLE COMPUTER INC,2005,10-K,0001104659-05-058421,up to 755 million
121718,JUNIPER NETWORKS INC,2004,10-K,0000950134-05-004228,
121718,JUNIPER NETWORKS INC,2005,10-K,0000950134-06-004424,"225,000,000"
7938,NACCO INDUSTRIES INC,2004,10-K,0000950152-05-002157,$0 to $70.0 million
7938,NACCO INDUSTRIES INC,2005,10-K,0000950152-06-001530,"56,000,000"
15110,LYONDELL CHEMICAL CO,2004,10-K,0001193125-05-052566,"161,000,000"
15110,LYONDELL CHEMICAL CO,2005,10-K,0001193125-06-054726,"161,000,000"
6821,LOUISIANA-PACIFIC CORP,2005,10-K,0001104659-06-014863,"517,000,000"
6821,LOUISIANA-PACIFIC CORP,2004,10-K,0001104659-05-010457,0 to 400 million
7620,MURPHY OIL CORP /DE,2004,10-K,0001193125-05-052706,only list tax expense
7620,MURPHY OIL CORP /DE,2005,10-K,0001193125-06-054960,only list tax expense
7620,MURPHY OIL CORP /DE,2005,10-K/A,0001193125-06-056655,only tax cist
120774,BROCADE COMMUNICATIONS SYSTEMS INC,2005,10-K,0000950134-06-000737,"78,200,000"
120774,BROCADE COMMUNICATIONS SYSTEMS INC,2004,10-K,0000950134-05-001717,zero to 61 million
120774,BROCADE COMMUNICATIONS SYSTEMS INC,2004,10-K/A,0000950134-05-021402,0 to 61 million
61574,WATERS CORP /DE/,2005,10-K,0000950135-06-001427,"500,000,000"
61574,WATERS CORP /DE/,2004,10-K,0000950135-05-001421,max 500 million
14385,RESPIRONICS INC,2006,10-K,0001193125-06-190272,"22,500,000"
14385,RESPIRONICS INC,2005,10-K,0001193125-05-184823,"22,500,000"
4094,DUN &amp; BRADSTREET CORP/NW,2005,10-K,0000950123-06-002387,"150,000,000"
4094,MOODYS CORP /DE/,2004,10-K,0000950123-05-002773,
4094,DONNELLEY R H INC,2004,10-K/A,0000950144-05-005141,blank
4094,R H DONNELLEY CORP,2005,10-K,0000950144-06-002351,blank
4094,MOODYS CORP /DE/,2005,10-K,0001193125-06-041923,"63,000,000"
4094,DUN &amp; BRADSTREET CORP/NW,2004,10-K,0001206774-05-000313,
4094,R H DONNELLEY CORP,2004,10-K,0000950144-05-002657,blank
4060,DOW CHEMICAL CO /DE/,2004,10-K,0001047469-05-004197,0 to 1 billion
4060,DOW CHEMICAL CO /DE/,2005,10-K,0001047469-06-002147,"113,000,000"
4058,DOVER CORP,2004,10-K,0000950123-05-003055,0 to 176 million
4058,DOVER CORP,2005,10-K,0000950123-06-002706,"373,700,000"
10519,TEXTRON INC,2005,10-K,0001104659-06-011793,"435,000,000"
10519,TEXTRON INC,2005,10-K,0001104659-05-008155,"200,000,000"
29830,Rock-Tenn CO,2005,10-K,0000950144-05-012856,"30,900,000"
29830,ROCK TENN CO,2004,10-K,0000950144-04-012064,
9778,SNAP ON INC,2005,10-K,0000897069-05-000548,0 to 200 million
9778,SNAP ON INC,2005,10-K,0000897069-06-000518,"93,000,000"
6730,LILLY ELI &amp; CO,2005,10-K,0000950137-06-002395,"8,000,000,000"
6730,LILLY ELI &amp; CO,2004,10-K,0000950134-05-004385,"8,000,000,000"
4093,DUKE ENERGY CORP,2004,10-K,0001193125-05-052711,"500,000,000"
4093,DUKE ENERGY CORP,2005,10-K/A,0001193125-06-071231,blank
4093,DUKE ENERGY CORP,2005,10-K,0001193125-06-045233,"500,000,000"
4093,DUKE ENERGY CORP,2005,10-K/A,0001193125-06-070775,blank
144066,ROCKWELL COLLINS INC,2004,10-K,0001193125-04-209373,
144066,ROCKWELL COLLINS INC,2005,10-K,0001193125-05-230287,"100,000,000"
2561,CPAC INC,2006,10-K,0000351717-06-000014,"2,297,000"
2561,CPAC INC,2005,10-K,0000351717-05-000027,"2,297,000"
2561,CPAC INC,2005,10-K/A,0000351717-05-000037,"2,297,000"
10581,TIMKEN CO,2005,10-K,0000950152-06-001996,"118,800,000"
10581,TIMKEN CO,2004,10-K,0000098362-05-000001,
142953,KRAFT FOODS INC,2004,10-K,0001047469-05-006214,
142953,KRAFT FOODS INC,2005,10-K,0001047469-06-003200,"500,000,000"
11465,WHIRLPOOL CORP /DE/,2004,10-K/A,0001193125-05-052507,0 to 500 million
11465,WHIRLPOOL CORP /DE/,2005,10-K,0001047469-06-002674,"25,000,000"
11465,WHIRLPOOL CORP /DE/,2004,10-K,0001193125-05-042422,
5786,HUNTINGTON BANCSHARES INC/MD,2005,10-K/A,0000950152-06-006501,blank
5786,HUNTINGTON BANCSHARES INC/MD,2004,10-K,0000950152-05-001700,0 to 89 million
5786,HUNTINGTON BANCSHARES INC/MD,2005,10-K,0000950152-06-001400,"109,400,000"
5786,HUNTINGTON PREFERRED CAPITAL INC,2005,10-K,0000950152-06-002522,look into
5786,HUNTINGTON PREFERRED CAPITAL INC,2004,10-K/A,0000950152-05-009902,0 to 89 million
5786,HUNTINGTON PREFERRED CAPITAL INC,2004,10-K,0000950152-05-002566,blank
26021,SEACOR HOLDINGS INC /NEW/,2004,10-K/A,0001047469-05-010044,blank
26021,SEACOR HOLDINGS INC /NEW/,2004,10-K,0001047469-05-006379,
26021,SEACOR HOLDINGS INC /NEW/,2005,10-K,0001104659-06-017877,"310,400,000"
111864,COGNIZANT TECHNOLOGY SOLUTIONS CORP,2004,10-K,0000950123-05-003226,0 to 500 million
111864,COGNIZANT TECHNOLOGY SOLUTIONS CORP,2005,10-K,0001193125-06-054940,"60,000,000"
7228,MEDTRONIC INC,2005,10-K,0000897101-05-001490,"933,700,000,000"
7228,MEDTRONIC INC,2006,10-K,0000897101-06-001326,"933,700,000,000"
20779,CISCO SYSTEMS INC,2005,10-K,0001193125-05-187168,"1,200,000,000"
20779,CISCO SYSTEMS INC,2006,10-K,0001193125-06-192133,"1,200,000,000"
6900,MTS SYSTEMS CORP,2004,10-K,0000897101-04-002620,
6900,MTS SYSTEMS CORP,2005,10-K/A,0000897101-06-000156,blank
6900,MTS SYSTEMS CORP,2005,10-K,0000897101-05-002656,
4839,FORD MOTOR CO,2004,10-K,0000950124-05-001427,
4839,FORD MOTOR CO,2005,10-K,0000038009-06-000031,only list tax benefit
1577,AMERICAN TECHNICAL CERAMICS CORP,2005,10-K,0000950136-05-006243,"up to 780,000"
1577,AMERICAN TECHNICAL CERAMICS CORP,2006,10-K,0000950136-06-008022,look into
6104,INTERNATIONAL PAPER CO /NEW/,2004,10-K,0000950117-05-000925,0 to 1.8 billion
6104,INTERNATIONAL PAPER CO /NEW/,2005,10-K/A,0001193125-06-047118,"900,000,000"
6104,INTERNATIONAL PAPER CO /NEW/,2005,10-K,0001193125-06-046215,"900,000,000"
8293,PAXAR CORP,2005,10-K/A,0001157523-06-002716,122.4 something
8293,PAXAR CORP,2004,10-K,0001157523-05-002543,0 to 7
8293,PAXAR CORP,2005,10-K,0001157523-06-002603,122.4 something
28742,BORGWARNER INC,2004,10-K,0000950137-05-003025,"0 to 74,000"
28742,BORGWARNER INC,2005,10-K,0000950137-06-002007,"72,200,000"
3243,CITIGROUP INC,2004,10-K,0001047469-05-004988,0 to 3.2 billion
3243,CITIGROUP INC,2005,10-K,0001047469-06-002377,"3,200,000,000"
3243,CITIGROUP GLOBAL MARKETS HOLDINGS INC,2004,10-K,0000950123-05-003339,0 to 125 million
4608,FEDERAL SIGNAL CORP /DE/,2005,10-K,0000950137-06-002144,only tax cost listed
4608,FEDERAL SIGNAL CORP /DE/,2004,10-K,0000950137-05-003146,0 to 104.0 million
4608,FEDERAL SIGNAL CORP /DE/,2004,10-K/A,0000950137-05-003300,0 to 104 million
2953,CHECKPOINT SYSTEMS INC,2005,10-K,0000950116-06-000758,"14,000,000"
2953,CHECKPOINT SYSTEMS INC,2004,10-K,0000950116-05-000986,
160255,HOSPIRA INC,2005,10-K,0001047469-06-003426,"175,000,000"
160255,HOSPIRA INC,2004,10-K,0001047469-05-007312,
11096,VALSPAR CORP,2004,10-K,0000897101-05-000085,
11096,VALSPAR CORP,2005,10-K,0000897101-06-000075,not clear
8463,PENTAIR INC,2005,10-K,0000950134-06-003965,"75,000,000"
8463,PENTAIR INC,2004,10-K,0001193125-05-047835,"70,000,000"
1380,AMERADA HESS CORP,2004,10-K,0000950123-05-003078,"1,300,000,000"
1380,AMERADA HESS CORP,2005,10-K,0000950123-06-002849,"1,900,000,000"
3221,AON CORP,2004,10-K,0001047469-05-006608,0 to 100 million
3221,AON CORP,2005,10-K,0001047469-06-003130,"101,000,000"
28176,APTARGROUP INC,2004,10-K,0000950137-05-002363,"32,000,000"
28176,APTARGROUP INC,2005,10-K,0000950137-06-002247,"50,000,000"
9340,VALEANT PHARMACEUTICALS INTERNATIONAL,2005,10-K,0000950137-06-003139,"205,000,000"
9340,VALEANT PHARMACEUTICALS INTERNATIONAL,2004,10-K,0000950137-05-003100,
144435,BUNGE LTD,2004,10-K,0001047469-05-006732,
144435,Bunge LTD,2005,10-K,0001104659-06-016958,only tax cost listed
24925,ROPER INDUSTRIES INC /DE/,2005,10-K,0000882835-06-000009,"82,000,000"
24925,ROPER INDUSTRIES INC /DE/,2004,10-K,0000882835-05-000004,0 to 200 million
14324,ALTERA CORP,2004,10-K,0001193125-05-047783,0 to 500 million
14324,ALTERA CORP,2005,10-K,0001193125-06-053555,"500,000,000"
29095,MERCURY INTERACTIVE CORP,2004,10-K,0001193125-05-049592,
29095,MERCURY INTERACTIVE CORP,2004,10-K/A,0001193125-06-141393,"500,000,000"
